"id","ICD-9 code","ICD-9 code descriptor","ICD-10 Code","ICD-10 descriptor","Created at","Updated at"
"9769","20967","Ben crcnoid hindgut NOS","D3A096","Benign carcinoid tumor of hindgut, not otherwise specified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9770","20966","Ben crcinoid midgut NOS","D3A095","Benign carcinoid tumor of midgut, not otherwise specified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9771","20965","Ben crcinoid foregut NOS","D3A094","Benign carcinoid tumor of foregut, not otherwise specified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9772","20964","Benign carcinoid kidney","D3A093","Benign carcinoid tumor of the kidney","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9773","20963","Benign carcinoid stomach","D3A092","Benign carcinoid tumor of the stomach","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9774","20962","Benign carcinoid thymus","D3A091","Benign carcinoid tumor of the thymus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9775","20961","Ben carcinoid bronc/lung","D3A090","Benign carcinoid tumor of the bronchus and lung","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9776","20950","Ben crcnoid lg intst NOS","D3A029","Benign carcinoid tumor of the large intestine, unspecified portion","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9777","20957","Benign carcinoid rectum","D3A026","Benign carcinoid tumor of the rectum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9778","20956","Ben carcinoid sig colon","D3A025","Benign carcinoid tumor of the sigmoid colon","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9779","20955","Ben carcinoid desc colon","D3A024","Benign carcinoid tumor of the descending colon","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9780","20954","Ben crcinoid trans colon","D3A023","Benign carcinoid tumor of the transverse colon","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9781","20953","Ben carcinoid asc colon","D3A022","Benign carcinoid tumor of the ascending colon","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9782","20952","Benign carcinoid cecum","D3A021","Benign carcinoid tumor of the cecum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9783","20951","Ben carcinoid appendix","D3A020","Benign carcinoid tumor of the appendix","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9784","20940","Ben crcnoid sm intst NOS","D3A019","Benign carcinoid tumor of the small intestine, unspecified portion","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9785","20943","Benign carcinoid ileum","D3A012","Benign carcinoid tumor of the ileum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9786","20942","Benign carcinoid jejunum","D3A011","Benign carcinoid tumor of the jejunum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9787","20941","Ben carcinoid duodenum","D3A010","Benign carcinoid tumor of the duodenum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9788","20960","Ben crcnd prim site unkn","D3A00","Benign carcinoid tumor of unknown primary site","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9789","2363","Unc behav neo female NEC","D398","Neoplasm of uncertain behavior of other and unspecified female genital organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9790","2361","Unc behav neo placenta","D392","Neoplasm of uncertain behavior of placenta","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9791","2362","Unc behav neo ovary","D3910","Neoplasm of uncertain behavior of ovary","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9792","2360","Uncert behav neo uterus","D390","Neoplasm of uncertain behavior of uterus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9793","2359","Unc behav neo resp NEC","D385","Neoplasm of uncertain behavior of other and unspecified respiratory organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9794","2358","Unc behav neo pleura","D382","Neoplasm of uncertain behavior of pleura, thymus, and mediastinum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9795","2357","Unc behav neo lung","D381","Neoplasm of uncertain behavior of trachea, bronchus, and lung","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9796","2356","Unc behav neo larynx","D380","Neoplasm of uncertain behavior of larynx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9797","2355","Unc behav neo GI NEC","D378","Neoplasm of uncertain behavior of other and unspecified digestive organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9798","2353","Unc behav neo liver","D376","Neoplasm of uncertain behavior of liver and biliary passages","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9799","2352","Unc behav neo intestine","D371","Neoplasm of uncertain behavior of stomach, intestines, and rectum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9800","2350","Unc behav neo salivary","D37030","Neoplasm of uncertain behavior of major salivary glands","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9801","2351","Unc behav neo oral/phar","D3701","Neoplasm of uncertain behavior of lip, oral cavity, and pharynx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9802","2290","Benign neo lymph nodes","D360","Benign neoplasm of lymph nodes","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9803","2279","Benign neo endocrine NOS","D359","Benign neoplasm of endocrine gland, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9804","2278","Benign neo endocrine NEC","D357","Benign neoplasm of other endocrine glands and related structures","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9805","2276","Ben neo paraganglia NEC","D356","Benign neoplasm of aortic body and other paraganglia","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9806","2275","Benign neo carotid body","D355","Benign neoplasm of carotid body","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9807","2274","Ben neopl pineal gland","D354","Benign neoplasm of pineal gland","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9808","2273","Benign neo pituitary","D352","Benign neoplasm of pituitary gland and craniopharyngeal duct","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9809","2271","Benign neo parathyroid","D351","Benign neoplasm of parathyroid gland","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9810","2270","Benign neoplasm adrenal","D3500","Benign neoplasm of adrenal gland","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9811","226","Benign neoplasm thyroid","D34","Benign neoplasm of thyroid glands","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9812","2259","Benign neo nerv sys NOS","D339","Benign neoplasm of nervous system, part unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9813","2258","Benign neo nerv sys NEC","D337","Benign neoplasm of other specified sites of nervous system","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9814","2253","Benign neo spinal cord","D334","Benign neoplasm of spinal cord","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9815","2251","Benign neo cranial nerve","D333","Benign neoplasm of cranial nerves","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9816","2250","Benign neoplasm brain","D330","Benign neoplasm of brain","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9817","2254","Ben neo spinal meninges","D321","Benign neoplasm of spinal meninges","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9818","2252","Ben neo cerebr meninges","D320","Benign neoplasm of cerebral meninges","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9819","2248","Benign neoplasm eye NEC","D3190","Benign neoplasm of other specified parts of eye","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9820","2249","Benign neoplasm eye NOS","D3190","Benign neoplasm of eye, part unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9821","2241","Benign neoplasm orbit","D3160","Benign neoplasm of orbit","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9822","2242","Ben neo lacrimal gland","D3150","Benign neoplasm of lacrimal gland","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9823","2247","Ben neo lacrimal duct","D3150","Benign neoplasm of lacrimal duct","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9824","2240","Benign neoplasm eyeball","D3140","Benign neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9825","2246","Benign neoplasm choroid","D3130","Benign neoplasm of choroid","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9826","2245","Benign neoplasm retina","D3120","Benign neoplasm of retina","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9827","2244","Benign neoplasm cornea","D3110","Benign neoplasm of cornea","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9828","2243","Benign neo conjunctiva","D3100","Benign neoplasm of conjunctiva","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9829","2239","Benign neo urinary NOS","D309","Benign neoplasm of urinary organ, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9830","22389","Benign neo urinary NEC","D308","Benign neoplasm of other specified sites of urinary organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9831","22381","Benign neoplasm urethra","D304","Benign neoplasm of urethra","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9832","2233","Benign neoplasm bladder","D303","Benign neoplasm of bladder","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9833","2232","Benign neoplasm ureter","D3020","Benign neoplasm of ureter","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9834","2231","Benign neo renal pelvis","D3010","Benign neoplasm of renal pelvis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9835","2230","Benign neoplasm kidney","D3000","Benign neoplasm of kidney, except pelvis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9836","2229","Ben neo male genital NOS","D299","Benign neoplasm of male genital organ, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9837","2228","Ben neo male genital NEC","D298","Benign neoplasm of other specified sites of male genital organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9838","2224","Benign neoplasm scrotum","D294","Benign neoplasm of scrotum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9839","2223","Benign neo epididymis","D2930","Benign neoplasm of epididymis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9840","2220","Benign neoplasm testis","D2920","Benign neoplasm of testis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9841","2222","Benign neoplasm prostate","D291","Benign neoplasm of prostate","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9842","2221","Benign neoplasm penis","D290","Benign neoplasm of penis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9843","2219","Ben neo fem genital NOS","D289","Benign neoplasm of female genital organ, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9844","2218","Ben neo fem genital NEC","D287","Benign neoplasm of other specified sites of female genital organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9845","2210","Ben neo fallopian tube","D282","Benign neoplasm of fallopian tube and uterine ligaments","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9846","2211","Benign neoplasm vagina","D281","Benign neoplasm of vagina","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9847","2212","Benign neoplasm vulva","D280","Benign neoplasm of vulva","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9848","2199","Benign neo uterus NOS","D269","Benign neoplasm of uterus, part unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9849","2198","Benign neo uterus NEC","D267","Benign neoplasm of other specified parts of uterus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9850","2191","Benign neo corpus uteri","D261","Benign neoplasm of corpus uteri","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9851","2190","Benign neo cervix uteri","D260","Benign neoplasm of cervix uteri","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9852","2189","Uterine leiomyoma NOS","D259","Leiomyoma of uterus, unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9853","2182","Subserous leiomyoma","D252","Subserous leiomyoma of uterus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9854","2181","Intramural leiomyoma","D251","Intramural leiomyoma of uterus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9855","2180","Submucous leiomyoma","D250","Submucous leiomyoma of uterus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9856","217","Benign neoplasm breast","D241","Benign neoplasm of breast","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9857","2168","Benign neoplasm skin NEC","D229","Benign neoplasm of other specified sites of skin","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9858","2169","Benign neoplasm skin NOS","D229","Benign neoplasm of skin, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9859","2167","Benign neo skin leg","D2270","Benign neoplasm of skin of lower limb, including hip","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9860","2166","Benign neo skin arm","D2260","Benign neoplasm of skin of upper limb, including shoulder","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9861","2165","Benign neo skin trunk","D225","Benign neoplasm of skin of trunk, except scrotum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9862","2164","Ben neo scalp/skin neck","D224","Benign neoplasm of scalp and skin of neck","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9863","2163","Benign neo skin face NEC","D2230","Benign neoplasm of skin of other and unspecified parts of face","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9864","2162","Benign neo skin ear","D2220","Benign neoplasm of ear and external auditory canal","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9865","2161","Benign neo skin eyelid","D2210","Benign neoplasm of eyelid, including canthus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9866","2160","Benign neo skin lip","D220","Benign neoplasm of skin of lip","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9867","2159","Ben neo soft tissue NOS","D219","Other benign neoplasm of connective and other soft tissue, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9868","2157","Benign neo trunk NOS","D216","Other benign neoplasm of connective and other soft tissue of trunk, unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9869","2156","Ben neo soft tis pelvis","D215","Other benign neoplasm of connective and other soft tissue of pelvis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9870","2155","Ben neo soft tis abdomen","D214","Other benign neoplasm of connective and other soft tissue of abdomen","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9871","2154","Ben neo soft tis thorax","D213","Other benign neoplasm of connective and other soft tissue of thorax","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9872","2153","Ben neo soft tissue leg","D2120","Other benign neoplasm of connective and other soft tissue of lower limb, including hip","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9873","2152","Ben neo soft tissue arm","D2110","Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9874","2150","Ben neo soft tissue head","D210","Other benign neoplasm of connective and other soft tissue of head, face, and neck","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9875","2299","Benign neoplasm NOS","D199","Benign neoplasm of unspecified site","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9876","2298","Benign neoplasm NEC","D197","Benign neoplasm of other specified sites","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9877","2118","Ben neo peritoneum","D191","Benign neoplasm of retroperitoneum and peritoneum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9878","2124","Benign neoplasm pleura","D190","Benign neoplasm of pleura","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9879","2281","Lymphangioma, any site","D181","Lymphangioma, any site","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9880","22809","Hemangioma NEC","D1809","Hemangioma of other sites","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9881","22804","Hemangioma intra-abdom","D1803","Hemangioma of intra-abdominal structures","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9882","22802","Hemangioma intracranial","D1802","Hemangioma of intracranial structures","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9883","22801","Hemangioma skin","D1801","Hemangioma of skin and subcutaneous tissue","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9884","22800","Hemangioma NOS","D1800","Hemangioma of unspecified site","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9885","2149","Lipoma NOS","D179","Lipoma, unspecified site","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9886","2148","Lipoma NEC","D1772","Lipoma of other specified sites","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9887","2144","Lipoma spermatic cord","D176","Lipoma of spermatic cord","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9888","2143","Lipoma intra-abdominal","D175","Lipoma of intra-abdominal organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9889","2142","Lipoma intrathoracic","D174","Lipoma of intrathoracic organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9890","2141","Lipoma skin NEC","D171","Lipoma of other skin and subcutaneous tissue","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9891","2140","Lipoma skin face","D170","Lipoma of skin and subcutaneous tissue of face","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9892","2139","Benign neo bone NOS","D169","Benign neoplasm of bone and articular cartilage, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9893","2136","Benign neo pelvic girdle","D168","Benign neoplasm of pelvic bones, sacrum, and coccyx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9894","2133","Ben neo ribs/stern/clav","D167","Benign neoplasm of ribs, sternum, and clavicle","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9895","2132","Benign neo vertebrae","D166","Benign neoplasm of vertebral column, excluding sacrum and coccyx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9896","2131","Ben neo lower jaw bone","D165","Benign neoplasm of lower jaw bone","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9897","2130","Ben neo skull/face bone","D164","Benign neoplasm of bones of skull and face","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9898","2138","Ben neo bones ankle/foot","D1630","Benign neoplasm of short bones of lower limb","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9899","2137","Ben neo long bones leg","D1620","Benign neoplasm of long bones of lower limb","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9900","2135","Ben neo bones wrist/hand","D1610","Benign neoplasm of short bones of upper limb","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9901","2134","Ben neo long bones arm","D1600","Benign neoplasm of scapula and long bones of upper limb","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9902","2128","Benign neo resp sys NEC","D157","Benign neoplasm of other specified sites of respiratory and intrathoracic organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9903","2125","Benign neo mediastinum","D152","Benign neoplasm of mediastinum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9904","2127","Benign neoplasm heart","D151","Benign neoplasm of heart","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9905","2126","Benign neoplasm thymus","D150","Benign neoplasm of thymus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9906","2129","Benign neo resp sys NOS","D144","Benign neoplasm of respiratory and intrathoracic organs, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9907","2123","Benign neo bronchus/lung","D1430","Benign neoplasm of bronchus and lung","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9908","2122","Benign neo trachea","D142","Benign neoplasm of trachea","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9909","2121","Benign neo larynx","D141","Benign neoplasm of larynx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9910","2120","Ben neo nasal cav/sinus","D140","Benign neoplasm of nasal cavities, middle ear, and accessory sinuses","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9911","2119","Ben neo GI tract NEC/NOS","D139","Benign neoplasm of other and unspecified site in the digestive system","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9912","2117","Ben neo islets langerhan","D137","Benign neoplasm of islets of Langerhans","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9913","2116","Benign neoplasm pancreas","D136","Benign neoplasm of pancreas, except islets of Langerhans","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9914","2115","Ben neo liver/bile ducts","D134","Benign neoplasm of liver and biliary passages","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9915","2112","Benign neoplasm sm bowel","D132","Benign neoplasm of duodenum, jejunum, and ileum","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9916","2111","Benign neoplasm stomach","D131","Benign neoplasm of stomach","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9917","2110","Benign neo esophagus","D130","Benign neoplasm of esophagus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9918","2114","Benign neopl rectum/anus","D127","Benign neoplasm of rectum and anal canal","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9919","2113","Benign neoplasm lg bowel","D120","Benign neoplasm of colon","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9920","2102","Ben neo major salivary","D110","Benign neoplasm of major salivary glands","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9921","2109","Benign neo pharynx NOS","D109","Benign neoplasm of pharynx, unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9922","2108","Benign neo hypopharynx","D107","Benign neoplasm of hypopharynx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9923","2107","Benign neo nasopharynx","D106","Benign neoplasm of nasopharynx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9924","2106","Benign neo oropharyn NEC","D105","Benign neoplasm of other parts of oropharynx","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9925","2105","Benign neoplasm tonsil","D104","Benign neoplasm of tonsil","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9926","2104","Benign neo mouth NEC/NOS","D1030","Benign neoplasm of other and unspecified parts of mouth","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9927","2103","Benign neo mouth floor","D102","Benign neoplasm of floor of mouth","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9928","2101","Benign neoplasm tongue","D101","Benign neoplasm of tongue","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9929","2100","Benign neoplasm lip","D100","Benign neoplasm of lip","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9930","2349","Ca in situ NOS","D099","Carcinoma in situ, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9931","2348","Ca in situ NEC","D093","Carcinoma in situ of other specified sites","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9932","2340","Ca in situ eye","D0920","Carcinoma in situ of eye","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9933","2339","Ca in situ urinary NEC","D0910","Carcinoma in situ of other and unspecified urinary organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9934","2337","Ca in situ bladder","D090","Carcinoma in situ of bladder","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9935","2336","Ca in situ male gen NEC","D0760","Carcinoma in situ of other and unspecified male genital organs","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9936","2334","Ca in situ prostate","D075","Carcinoma in situ of prostate","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9937","2335","Ca in situ penis","D074","Carcinoma in situ of penis","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9938","23339","Ca in situ fem gen NEC","D0739","Carcinoma in situ, other female genital organ","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9939","23330","Ca in situ fem gen NOS","D0730","Carcinoma in situ, unspecified female genital organ","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9940","23331","Carcinoma in situ vagina","D072","Carcinoma in situ, vagina","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9941","23332","Carcinoma in situ vulva","D071","Carcinoma in situ, vulva","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9942","2332","Ca in situ uterus NEC","D070","Carcinoma in situ of other and unspecified parts of uterus","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9943","2331","Ca in situ cervix uteri","D060","Carcinoma in situ of cervix uteri","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9944","2330","Ca in situ breast","D0500","Carcinoma in situ of breast","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9945","2329","Ca in situ skin NOS","D049","Carcinoma in situ of skin, site unspecified","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
"9946","2328","Ca in situ skin NEC","D048","Carcinoma in situ of other specified sites of skin","2020-10-14T04:48:10.000000Z","2020-10-14T04:48:10.000000Z"
