Counter,ICD-10 code,WHO update 1=Add 2=Del,ICD-10 code descriptor,ICD-10-AM Map,Aust update 1=Add 2=Del,Additive Map (+),ICD-10-AM code descriptor
10224,Q35.1,,Cleft hard palate,Q35.10,,,"Cleft hard palate, unspecified"
10225,Q35.1,,Cleft hard palate,Q35.11,,,"Cleft hard palate, bilateral"
10226,Q35.1,,Cleft hard palate,Q35.12,,,"Cleft hard palate, median"
10227,Q35.1,,Cleft hard palate,Q35.13,,,"Cleft hard palate, unilateral"
10228,Q35.3,,Cleft soft palate,Q35.30,,,"Cleft soft palate, unspecified"
10229,Q35.3,,Cleft soft palate,Q35.31,,,"Cleft soft palate, bilateral"
10230,Q35.3,,Cleft soft palate,Q35.32,,,"Cleft soft palate, median"
10231,Q35.3,,Cleft soft palate,Q35.33,,,"Cleft soft palate, unilateral"
10232,Q35.5,,Cleft hard palate with cleft soft palate,Q35.10,,,"Cleft hard palate, unspecified"
10233,Q35.5,,Cleft hard palate with cleft soft palate,Q35.11,,,"Cleft hard palate, bilateral"
10234,Q35.5,,Cleft hard palate with cleft soft palate,Q35.12,,,"Cleft hard palate, median"
10235,Q35.5,,Cleft hard palate with cleft soft palate,Q35.13,,,"Cleft hard palate, unilateral"
10236,Q35.5,,Cleft hard palate with cleft soft palate,Q35.30,,,"Cleft soft palate, unspecified"
10237,Q35.5,,Cleft hard palate with cleft soft palate,Q35.31,,,"Cleft soft palate, bilateral"
10238,Q35.5,,Cleft hard palate with cleft soft palate,Q35.32,,,"Cleft soft palate, median"
10239,Q35.5,,Cleft hard palate with cleft soft palate,Q35.33,,,"Cleft soft palate, unilateral"
10240,Q35.6,,"Cleft palate, medial",Q35.6,,,"Cleft palate, medial"
10241,Q35.7,,Cleft uvula,Q35.7,,,Cleft uvula
10242,Q35.9,,"Cleft palate, unspecified",Q35.9,,,"Cleft palate, unspecified"
10243,Q36.0,,"Cleft lip, bilateral",Q36.0,,,"Cleft lip, bilateral"
10244,Q36.1,,"Cleft lip, medial",Q36.1,,,"Cleft lip, median"
10245,Q36.9,,"Cleft lip, unilateral",Q36.9,,,"Cleft lip, unilateral"
10246,Q37.0,,Cleft hard palate with bilateral cleft lip,Q35.10,,,"Cleft hard palate, unspecified"
10247,Q37.0,,Cleft hard palate with bilateral cleft lip,Q35.11,,,"Cleft hard palate, bilateral"
10248,Q37.0,,Cleft hard palate with bilateral cleft lip,Q35.12,,,"Cleft hard palate, median"
10249,Q37.0,,Cleft hard palate with bilateral cleft lip,Q35.13,,,"Cleft hard palate, unilateral"
10250,Q37.0,,Cleft hard palate with bilateral cleft lip,Q36.0,,,"Cleft lip, bilateral"
10251,Q37.1,,Cleft hard palate with unilateral cleft lip,Q35.10,,,"Cleft hard palate, unspecified"
10252,Q37.1,,Cleft hard palate with unilateral cleft lip,Q35.11,,,"Cleft hard palate, bilateral"
10253,Q37.1,,Cleft hard palate with unilateral cleft lip,Q35.12,,,"Cleft hard palate, median"
10254,Q37.1,,Cleft hard palate with unilateral cleft lip,Q35.13,,,"Cleft hard palate, unilateral"
10255,Q37.1,,Cleft hard palate with unilateral cleft lip,Q36.9,,,"Cleft lip, unilateral"
10256,Q37.2,,Cleft soft palate with bilateral cleft lip,Q36.0,,,"Cleft lip, bilateral"
10257,Q37.2,,Cleft soft palate with bilateral cleft lip,Q35.30,,,"Cleft soft palate, unspecified"
10258,Q37.2,,Cleft soft palate with bilateral cleft lip,Q35.31,,,"Cleft soft palate, bilateral"
10259,Q37.2,,Cleft soft palate with bilateral cleft lip,Q35.32,,,"Cleft soft palate, median"
10260,Q37.2,,Cleft soft palate with bilateral cleft lip,Q35.33,,,"Cleft soft palate, unilateral"
10261,Q37.3,,Cleft soft palate with unilateral cleft lip,Q35.30,,,"Cleft soft palate, unspecified"
10262,Q37.3,,Cleft soft palate with unilateral cleft lip,Q35.31,,,"Cleft soft palate, bilateral"
10263,Q37.3,,Cleft soft palate with unilateral cleft lip,Q35.32,,,"Cleft soft palate, median"
10264,Q37.3,,Cleft soft palate with unilateral cleft lip,Q35.33,,,"Cleft soft palate, unilateral"
10265,Q37.3,,Cleft soft palate with unilateral cleft lip,Q36.9,,,"Cleft lip, unilateral"
10266,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.10,,,"Cleft hard palate, unspecified"
10267,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.11,,,"Cleft hard palate, bilateral"
10268,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.12,,,"Cleft hard palate, median"
10269,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.13,,,"Cleft hard palate, unilateral"
10270,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.30,,,"Cleft soft palate, unspecified"
10271,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.31,,,"Cleft soft palate, bilateral"
10272,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.32,,,"Cleft soft palate, median"
10273,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q35.33,,,"Cleft soft palate, unilateral"
10274,Q37.4,,Cleft hard and soft palate with bilateral cleft lip,Q36.0,,,"Cleft lip, bilateral"
10275,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q36.9,,,"Cleft lip, unilateral"
10276,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.10,,,"Cleft hard palate, unspecified"
10277,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.11,,,"Cleft hard palate, bilateral"
10278,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.12,,,"Cleft hard palate, median"
10279,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.13,,,"Cleft hard palate, unilateral"
10280,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.30,,,"Cleft soft palate, unspecified"
10281,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.31,,,"Cleft soft palate, bilateral"
10282,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.32,,,"Cleft soft palate, median"
10283,Q37.5,,Cleft hard and soft palate with unilateral cleft lip,Q35.33,,,"Cleft soft palate, unilateral"
10284,Q37.8,,Unspecified cleft palate with bilateral cleft lip,Q35.9,,,"Cleft palate, unspecified"
10285,Q37.8,,Unspecified cleft palate with bilateral cleft lip,Q36.0,,,"Cleft lip, bilateral"
10286,Q37.9,,Unspecified cleft palate with unilateral cleft lip,Q35.9,,,"Cleft palate, unspecified"
10287,Q37.9,,Unspecified cleft palate with unilateral cleft lip,Q36.9,,,"Cleft lip, unilateral"
10288,Q38.0,,"Congenital malformations of lips, not elsewhere classified",Q38.00,,,"Congenital malformation of lips, unspecified "
10289,Q38.0,,"Congenital malformations of lips, not elsewhere classified",Q38.09,,,Other congenital malformations of lips
10290,Q38.0,,"Congenital malformations of lips, not elsewhere classified",Q38.01,,,Congenital fistula or pit of lips
10291,Q38.0,,"Congenital malformations of lips, not elsewhere classified",Q38.02,,,Van der Woude's syndrome
10292,Q38.1,,Ankyloglossia,Q38.1,,,Ankyloglossia
10293,Q38.2,,Macroglossia,Q38.2,,,Macroglossia
10294,Q38.3,,Other congenital malformations of tongue,Q38.30,,,"Congenital malformation of tongue, unspecified"
10295,Q38.3,,Other congenital malformations of tongue,Q38.39,,,Other congenital malformations of tongue
10296,Q38.3,,Other congenital malformations of tongue,Q38.31,,,Congenital absence of tongue
10297,Q38.3,,Other congenital malformations of tongue,Q38.32,,,Congenital cleft of tongue
10298,Q38.3,,Other congenital malformations of tongue,Q38.33,,,Congenital displacement of tongue
10299,Q38.3,,Other congenital malformations of tongue,Q38.34,,,Congenital hypoplasia of tongue
10300,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.40,,,"Congenital malformation of salivary gland(s) and duct(s), unspecified"
10301,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.49,,,Other congenital malformations of salivary gland(s) and duct(s)
10302,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.41,,,Congenital absence of salivary gland(s) and duct(s)
10303,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.42,,,Congenital accessory salivary gland(s) and duct(s)
10304,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.43,,,Congenital atresia of  salivary gland(s) and duct(s)
10305,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.44,,,Congenital fistula of  salivary gland(s) and duct(s)
10306,Q38.4,,Congenital malformations of salivary glands and ducts,Q38.45,,,Congenital ranula
10307,Q38.5,,"Congenital malformations of palate, not elsewhere classified",Q38.50,,,"Congenital malformation of palate, unspecified"
10308,Q38.5,,"Congenital malformations of palate, not elsewhere classified",Q38.59,,,Other congenital malformations of palate 
10309,Q38.5,,"Congenital malformations of palate, not elsewhere classified",Q38.51,,,Congenital absence of uvula
10310,Q38.5,,"Congenital malformations of palate, not elsewhere classified",Q38.52,,,Congenital high arched palate
10311,Q38.6,,Other congenital malformations of mouth,Q38.60,,,"Congenital malformation of mouth, unspecified"
10312,Q38.6,,Other congenital malformations of mouth,Q38.69,,,Other congenital malformations of mouth
10313,Q38.6,,Other congenital malformations of mouth,Q38.61,,,Congenital cleft of gum
10314,Q38.7,,Pharyngeal pouch,Q38.7,,,Pharyngeal pouch
10315,Q38.8,,Other congenital malformations of pharynx,Q38.8,,,Other and unspecified congenital malformations of pharynx
10316,Q39.0,,Atresia of oesophagus without fistula,Q39.0,,,Atresia of oesophagus without fistula
10317,Q39.1,,Atresia of oesophagus with tracheo-oesophageal fistula,Q39.10,,,"Atresia of oesophagus with oesophageal fistula, unspecified"
10318,Q39.1,,Atresia of oesophagus with tracheo-oesophageal fistula,Q39.13,,,Atresia of oesophagus with fistula between trachea and oesophageal pouch
10319,Q39.1,,Atresia of oesophagus with tracheo-oesophageal fistula,Q39.14,,,Atresia of oesophagus with broncho-oesophageal fistula
10320,Q39.1,,Atresia of oesophagus with tracheo-oesophageal fistula,Q39.15,,,Atresia of oesophagus with tracheo-oesophageal fistula
10321,Q39.2,,Congenital tracheo-oesophageal fistula without atresia,Q39.21,,,Congenital tracheo-oesophageal fistula without atresia
10322,Q39.2,,Congenital tracheo-oesophageal fistula without atresia,Q39.22,,,Congenital broncho-oesophageal fistula without atresia
10323,Q39.3,,Congenital stenosis and stricture of oesophagus,Q39.3,,,Congenital stenosis and stricture of oesophagus
10324,Q39.4,,Congenital oesophageal web,Q39.4,,,Congenital oesophageal web
10325,Q39.5,,Congenital dilatation of oesophagus,Q39.5,,,Congenital dilatation of oesophagus
10326,Q39.6,,Diverticulum of oesophagus,Q39.6,,,Diverticulum of oesophagus
10327,Q39.8,,Other congenital malformations of oesophagus,Q39.89,,,Other congenital malformations of oesophagus
10328,Q39.8,,Other congenital malformations of oesophagus,Q39.81,,,Congenital duplication of oesophagus
10329,Q39.8,,Other congenital malformations of oesophagus,Q39.82,,,Oesophageal dysmotility
10330,Q39.8,,Other congenital malformations of oesophagus,Q39.83,,,Congenital absence of oesophagus
10331,Q39.8,,Other congenital malformations of oesophagus,Q39.84,,,Congenital displacement of oesophagus
10332,Q39.8,,Other congenital malformations of oesophagus,Q39.85,,,Congenital duplication cyst of oesophagus
10333,Q39.9,,"Congenital malformation of oesophagus, unspecified",Q39.9,,,"Congenital malformation of oesophagus, unspecified"
10334,Q40.0,,Congenital hypertrophic pyloric stenosis,Q40.0,,,Congenital hypertrophic pyloric stenosis
10335,Q40.1,,Congenital hiatus hernia,Q40.1,,,Congenital hiatus hernia
10336,Q40.2,,Other specified congenital malformations of stomach,Q40.29,,,Other specified congenital malformations of stomach
10337,Q40.2,,Other specified congenital malformations of stomach,Q40.21,,,Congenital absence of stomach
10338,Q40.2,,Other specified congenital malformations of stomach,Q40.22,,,Congenital diverticulum of stomach
10339,Q40.2,,Other specified congenital malformations of stomach,Q40.23,,,Congenital duplication of stomach
10340,Q40.2,,Other specified congenital malformations of stomach,Q40.24,,,Congenital megalogastria
10341,Q40.2,,Other specified congenital malformations of stomach,Q40.25,,,Congenital microgastria
10342,Q40.3,,"Congenital malformation of stomach, unspecified",Q40.3,,,"Congenital malformation of stomach, unspecified"
10343,Q40.8,,Other specified congenital malformations of upper alimentary tract,Q40.8,,,Other specified congenital malformations of upper alimentary tract
10344,Q40.9,,"Congenital malformation of upper alimentary tract, unspecified",Q40.9,,,"Congenital malformation of upper alimentary tract, unspecified"
10345,Q41.0,,"Congenital absence, atresia and stenosis of duodenum",Q41.01,,,Congenital absence and atresia of duodenum
10346,Q41.0,,"Congenital absence, atresia and stenosis of duodenum",Q41.02,,,Congenital stenosis of duodenum
10347,Q41.1,,"Congenital absence, atresia and stenosis of jejunum",Q41.11,,,Congenital absence and atresia of jejunum
10348,Q41.1,,"Congenital absence, atresia and stenosis of jejunum",Q41.12,,,Congenital stenosis of jejunum
10349,Q41.1,,"Congenital absence, atresia and stenosis of jejunum",Q41.13,,,Apple peel syndrome
10350,Q41.2,,"Congenital absence, atresia and stenosis of ileum",Q41.21,,,Congenital absence and atresia of ileum
10351,Q41.2,,"Congenital absence, atresia and stenosis of ileum",Q41.22,,,Congenital stenosis of ileum
10352,Q41.8,,"Congenital absence, atresia and stenosis of other specified parts of small intestine",Q41.81,,,Congenital absence and atresia of other specified parts of small intestine
10353,Q41.8,,"Congenital absence, atresia and stenosis of other specified parts of small intestine",Q41.82,,,Congenital stenosis of other specified parts of small intestine
10354,Q41.9,,"Congenital absence, atresia and stenosis of small intestine, part unspecified",Q41.9,,,"Congenital absence, atresia and stenosis of small intestine, part unspecified"
10355,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.00,,,"Congenital absence, atresia and stenosis of rectum with unspecified fistula"
10356,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.09,,,"Congenital absence, atresia and stenosis of rectum with other fistula"
10357,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.01,,,"Congenital absence, atresia and stenosis of rectum with rectourethral fistula"
10358,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.02,,,"Congenital absence, atresia and stenosis of rectum with rectovesical fistula"
10359,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.03,,,"Congenital absence, atresia and stenosis of rectum with rectovulval fistula"
10360,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.04,,,"Congenital absence, atresia and stenosis of rectum with rectocutaneous fistula"
10361,Q42.0,,"Congenital absence, atresia and stenosis of rectum with fistula",Q42.05,,,"Congenital absence, atresia and stenosis of rectum with rectocloacal fistula"
10362,Q42.1,,"Congenital absence, atresia and stenosis of rectum without fistula",Q42.1,,,"Congenital absence, atresia and stenosis of rectum without fistula"
10363,Q42.2,,"Congenital absence, atresia and stenosis of anus with fistula",Q42.2,,,"Congenital absence, atresia and stenosis of anus with fistula"
10364,Q42.3,,"Congenital absence, atresia and stenosis of anus without fistula",Q42.3,,,"Congenital absence, atresia and stenosis of anus without fistula"
10365,Q42.8,,"Congenital absence, atresia and stenosis of other parts of large intestine",Q42.8,,,"Congenital absence, atresia and stenosis of other parts of large intestine"
10366,Q42.9,,"Congenital absence, atresia and stenosis of large intestine, part unspecified",Q42.9,,,"Congenital absence, atresia and stenosis of large intestine, part unspecified"
10367,Q43.0,,Meckel's diverticulum,Q43.0,,,Meckel's diverticulum
10368,Q43.1,,Hirschsprung's disease,Q43.10,,,"Hirschsprung's disease, unspecified"
10369,Q43.1,,Hirschsprung's disease,Q43.19,,,Other Hirschsprung's disease
10370,Q43.1,,Hirschsprung's disease,Q43.11,,,Short segment Hirschsprung's disease
10371,Q43.1,,Hirschsprung's disease,Q43.12,,,Long segment Hirschsprung's disease
10372,Q43.1,,Hirschsprung's disease,Q43.13,,,Total aganglionosis of colon and intestine
10373,Q43.2,,Other congenital functional disorders of colon,Q43.2,,,Other congenital functional disorders of colon
10374,Q43.3,,Congenital malformations of intestinal fixation,Q43.39,,,Other congenital malformations of intestinal fixation
10375,Q43.3,,Congenital malformations of intestinal fixation,Q43.31,,,Malrotation of colon
10376,Q43.3,,Congenital malformations of intestinal fixation,Q43.32,,,Congenital intra-abdominal adhesions (bands)
10377,Q43.4,,Duplication of intestine,Q43.4,,,Duplication of intestine
10378,Q43.5,,Ectopic anus,Q43.5,,,Ectopic anus
10379,Q43.6,,Congenital fistula of rectum and anus,Q43.6,,,Congenital fistula of rectum and anus
10380,Q43.7,,Persistent cloaca,Q43.7,,,Persistent cloaca
10381,Q43.8,,Other specified congenital malformations of intestine,Q43.89,,,Other specified congenital malformations of intestine
10382,Q43.8,,Other specified congenital malformations of intestine,Q43.81,,,Congenital microcolon
10383,Q43.8,,Other specified congenital malformations of intestine,Q43.82,,,Congenital transposition of intestine
10384,Q43.9,,"Congenital malformation of intestine, unspecified",Q43.9,,,"Congenital malformation of intestine, unspecified"
10385,Q44.0,,"Agenesis, aplasia and hypoplasia of gallbladder",Q44.0,,,"Agenesis, aplasia and hypoplasia of gallbladder"
10386,Q44.1,,Other congenital malformations of gallbladder,Q44.1,,,Other congenital malformations of gallbladder
10387,Q44.2,,Atresia of bile ducts,Q44.2,,,Atresia of bile ducts
10388,Q44.3,,Congenital stenosis and stricture of bile ducts,Q44.3,,,Congenital stenosis and stricture of bile ducts
10389,Q44.4,,Choledochal cyst,Q44.4,,,Choledochal cyst
10390,Q44.5,,Other congenital malformations of bile ducts,Q44.5,,,Other congenital malformations of bile ducts
10391,Q44.6,,Cystic disease of liver,Q44.6,,,Cystic disease of liver
10392,Q44.7,,Other congenital malformations of liver,Q44.79,,,Other congenital malformations of liver
10393,Q44.7,,Other congenital malformations of liver,Q44.71,,,Alagille syndrome
10394,Q44.7,,Other congenital malformations of liver,Q44.72,,,Congenital absence of liver
10395,Q45.0,,"Agenesis, aplasia and hypoplasia of pancreas",Q45.0,,,"Agenesis, aplasia and hypoplasia of pancreas"
10396,Q45.1,,Annular pancreas,Q45.1,,,Annular pancreas
10397,Q45.2,,Congenital pancreatic cyst,Q45.2,,,Congenital pancreatic cyst
10398,Q45.3,,Other congenital malformations of pancreas and pancreatic duct,Q45.39,,,Other congenital malformations of pancreas and pancreatic duct
10399,Q45.3,,Other congenital malformations of pancreas and pancreatic duct,Q45.30,,,"Congenital malformation of pancreas and pancreatic duct, unspecified"
10400,Q45.3,,Other congenital malformations of pancreas and pancreatic duct,Q45.31,,,Ectopic pancreas
10401,Q45.3,,Other congenital malformations of pancreas and pancreatic duct,Q45.32,,,Congenital accessory pancreas
10402,Q45.8,,Other specified congenital malformations of digestive system,Q45.89,,,Other specified congenital malformations of digestive system
10403,Q45.8,,Other specified congenital malformations of digestive system,Q45.81,,,"Absence (complete) (partial) of alimentary tract, not elsewhere classified"
10404,Q45.8,,Other specified congenital malformations of digestive system,Q45.82,,,"Duplication of digestive organs, not elsewhere classified"
10405,Q45.8,,Other specified congenital malformations of digestive system,Q45.83,,,"Congenital malposition of digestive organs, not elsewhere classified"
10406,Q45.8,,Other specified congenital malformations of digestive system,Q45.84,,,"Congenital mesenteric cyst, not elsewhere classified"
10407,Q45.8,,Other specified congenital malformations of digestive system,Q45.85,,,"Congenital ectopic digestive organs, not elsewhere classified"
10408,Q45.8,,Other specified congenital malformations of digestive system,Q45.86,,,"Congenital malformations of mesentery, not elsewhere classified"
10409,Q45.9,,"Congenital malformation of digestive system, unspecified",Q45.9,,,"Congenital malformation of digestive system, unspecified"
10410,Q50.0,,Congenital absence of ovary,Q50.00,,,"Congenital absence of ovary, unspecified"
10411,Q50.0,,Congenital absence of ovary,Q50.01,,,"Congenital absence of ovary, unilateral"
10412,Q50.0,,Congenital absence of ovary,Q50.02,,,"Congenital absence of ovary, bilateral"
10413,Q50.1,,Developmental ovarian cyst,Q50.10,,,"Developmental ovarian cyst, unspecified"
10414,Q50.1,,Developmental ovarian cyst,Q50.11,,,"Developmental ovarian cyst, single"
10415,Q50.1,,Developmental ovarian cyst,Q50.12,,,"Developmental ovarian cyst, multiple"
10416,Q50.2,,Congenital torsion of ovary,Q50.2,,,Congenital torsion of ovary
10417,Q50.3,,Other congenital malformations of ovary,Q50.39,,,Other congenital malformations of ovary
10418,Q50.3,,Other congenital malformations of ovary,Q50.30,,,"Congenital malformation of ovary, unspecified"
10419,Q50.3,,Other congenital malformations of ovary,Q50.31,,,Ovarian streak
10420,Q50.3,,Other congenital malformations of ovary,Q50.32,,,Accessory ovary
10421,Q50.4,,Embryonic cyst of fallopian tube,Q50.4,,,Embryonic cyst of fallopian tube
10422,Q50.5,,Embryonic cyst of broad ligament,Q50.5,,,Embryonic cyst of broad ligament
10423,Q50.6,,Other congenital malformations of fallopian tube and broad ligament,Q50.69,,,Other congenital malformations of fallopian tube and broad ligament
10424,Q50.6,,Other congenital malformations of fallopian tube and broad ligament,Q50.61,,,Absence of fallopian tube and broad ligament
10425,Q51.0,,Agenesis and aplasia of uterus,Q51.0,,,Agenesis and aplasia of uterus
10426,Q51.1,,Doubling of uterus with doubling of cervix and vagina,Q51.1,,,Doubling of uterus with doubling of cervix and vagina
10427,Q51.2,,Other doubling of uterus,Q51.2,,,Other doubling of uterus
10428,Q51.3,,Bicornate uterus,Q51.3,,,Bicornate uterus
10429,Q51.4,,Unicornate uterus,Q51.4,,,Unicornate uterus
10430,Q51.5,,Agenesis and aplasia of cervix,Q51.5,,,Agenesis and aplasia of cervix
10431,Q51.6,,Embryonic cyst of cervix,Q51.60,,,"Congenital malformation of fallopian tube and broad ligament, unspecified"
10432,Q51.7,,Congenital fistulae between uterus and digestive and urinary tracts,Q51.7,,,Congenital fistulae between uterus and digestive and urinary tracts
10433,Q51.8,,Other congenital malformations of uterus and cervix,Q51.89,,,Other congenital malformations of uterus and cervix
10434,Q51.8,,Other congenital malformations of uterus and cervix,Q51.81,,,Congenital hypoplasia of uterus
10435,Q51.8,,Other congenital malformations of uterus and cervix,Q51.82,,,Congenital hypoplasia of cervix
10436,Q51.8,,Other congenital malformations of uterus and cervix,Q51.83,,,Congenital displacement of uterus
10437,Q51.8,,Other congenital malformations of uterus and cervix,Q51.84,,,Congenital displacement of cervix
10438,Q51.9,,"Congenital malformation of uterus and cervix, unspecified",Q51.9,,,"Congenital malformation of uterus and cervix, unspecified"
10439,Q52.0,,Congenital absence of vagina,Q52.0,,,Congenital absence of vagina
10440,Q52.1,,Doubling of vagina,Q52.1,,,Doubling of vagina
10441,Q52.2,,Congenital rectovaginal fistula,Q52.2,,,Congenital rectovaginal fistula
10442,Q52.3,,Imperforate hymen,Q52.3,,,Imperforate hymen
10443,Q52.4,,Other congenital malformations of vagina,Q52.40,,,"Congenital malformation of vagina, unspecified"
10444,Q52.4,,Other congenital malformations of vagina,Q52.49,,,Other congenital malformations of vagina
10445,Q52.4,,Other congenital malformations of vagina,Q52.41,,,Congenital atresia of vagina
10446,Q52.4,,Other congenital malformations of vagina,Q52.42,,,Embryonic cyst of vagina
10447,Q52.4,,Other congenital malformations of vagina,Q52.43,,,Congenital cyst of canal of Nuck
10448,Q52.5,,Fusion of labia,Q52.5,,,Fusion of labia
10449,Q52.6,,Congenital malformation of clitoris,Q52.60,,,"Congenital malformations of clitoris, unspecified"
10450,Q52.6,,Congenital malformation of clitoris,Q52.69,,,Other congenital malformations of clitoris
10451,Q52.6,,Congenital malformation of clitoris,Q52.61,,,Congenital absence of clitoris
10452,Q52.6,,Congenital malformation of clitoris,Q52.62,,,Congenital hypertrophy of clitoris
10453,Q52.7,,Other congenital malformations of vulva,Q52.70,,,"Congenital malformation of vulva, unspecified"
10454,Q52.7,,Other congenital malformations of vulva,Q52.79,,,Other congenital malformations of vulva
10455,Q52.7,,Other congenital malformations of vulva,Q52.71,,,Congenital absence of vulva
10456,Q52.8,,Other specified congenital malformations of female genitalia,Q52.8,,,Other specified congenital malformations of female genitalia
10457,Q52.9,,"Congenital malformation of female genitalia, unspecified",Q52.9,,,"Congenital malformation of female genitalia, unspecified"
10458,Q53.0,,Ectopic testis,Q53.0,,,Ectopic testis
10459,Q53.1,,"Undescended testicle, unilateral",Q53.10 ,,,"Undescended testicle, unilateral, unspecified site"
10460,Q53.1,,"Undescended testicle, unilateral",Q53.11 ,,,"Undescended testicle, unilateral, canalicular"
10461,Q53.1,,"Undescended testicle, unilateral",Q53.12,,,"Undescended testicle, unilateral, inguinal"
10462,Q53.1,,"Undescended testicle, unilateral",Q53.13,,,"Undescended testicle, unilateral, intra-abdominal"
10463,Q53.2,,"Undescended testicle, bilateral",Q53.20 ,,,"Undescended testicle, bilateral unspecified site"
10464,Q53.2,,"Undescended testicle, bilateral",Q53.21,,,"Undescended testicle, bilateral, canalicular"
10465,Q53.2,,"Undescended testicle, bilateral",Q53.22,,,"Undescended testicle, bilateral, inguinal"
10466,Q53.2,,"Undescended testicle, bilateral",Q53.23,,,"Undescended testicle, bilateral, intra-abdominal"
10467,Q53.9,,"Undescended testicle, unspecified",Q53.90 ,,,"Undescended testicle, unspecified laterality, unspecified site"
10468,Q53.9,,"Undescended testicle, unspecified",Q53.91,,,"Undescended testicle, unspecified laterality, canalicular"
10469,Q53.9,,"Undescended testicle, unspecified",Q53.92,,,"Undescended testicle, unspecified laterality, inguinal"
10470,Q53.9,,"Undescended testicle, unspecified",Q53.93,,,"Undescended testicle, unspecified laterality, intra-abdominal"
10471,Q54.0,,"Hypospadias, balanic",Q54.0,,,"Hypospadias, balanic"
10472,Q54.1,,"Hypospadias, penile",Q54.1,,,"Hypospadias, penile"
10473,Q54.2,,"Hypospadias, penoscrotal",Q54.2,,,"Hypospadias, penoscrotal"
10474,Q54.3,,"Hypospadias, perineal",Q54.3,,,"Hypospadias, perineal"
10475,Q54.4,,Congenital chordee,Q54.4,,,Congenital chordee
10476,Q54.8,,Other hypospadias,Q54.8,,,Other hypospadias
10477,Q54.9,,"Hypospadias, unspecified",Q54.9,,,"Hypospadias, unspecified"
10478,Q55.0,,Absence and aplasia of testis,Q55.00,,,"Absence and aplasia of testis, unspecified"
10479,Q55.0,,Absence and aplasia of testis,Q55.01,,,"Absence and aplasia of testis, unilateral"
10480,Q55.0,,Absence and aplasia of testis,Q55.02,,,"Absence and aplasia of testis, bilateral"
10481,Q55.1,,Hypoplasia of testis and scrotum,Q55.11,,,Hypoplasia of testis 
10482,Q55.1,,Hypoplasia of testis and scrotum,Q55.12,,,Hypoplasia of scrotum
10483,Q55.2,,Other congenital malformations of testis and scrotum,Q55.20,,,"Congenital malformation of testis and scrotum, unspecified"
10484,Q55.2,,Other congenital malformations of testis and scrotum,Q55.29,,,Other congenital malformation of testis or scrotum
10485,Q55.2,,Other congenital malformations of testis and scrotum,Q55.21,,,Retractile testis
10486,Q55.2,,Other congenital malformations of testis and scrotum,Q55.22,,,Bifid scrotum
10487,Q55.2,,Other congenital malformations of testis and scrotum,Q55.23,,,Absence of scrotum
10488,Q55.2,,Other congenital malformations of testis and scrotum,Q55.24,,,Polyorchism
10489,Q55.3,,Atresia of vas deferens,Q55.3,,,Atresia of vas deferens
10490,Q55.4,,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",Q55.40,,,"Congenital malformation of vas deferens, epididymis, seminal vesicles and prostate, unspecified "
10491,Q55.4,,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",Q55.41,,,Other congenital malformations of vas deferens
10492,Q55.4,,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",Q55.42,,,Other congenital malformations of epididymis
10493,Q55.4,,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",Q55.43,,,Other congenital malformations of seminal vesicles
10494,Q55.4,,"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",Q55.44,,,Other congenital malformations of prostate
10495,Q55.5,,Congenital absence and aplasia of penis,Q55.5,,,Congenital absence and aplasia of penis
